sizes
50;75,37;73,96;74,53;75,93;73,77;72,23;75,65;75,75;75,53;73,42;73,88;75,98;73,52;69,97;74,37;67,34;64,10;60,43;65,78;67,62;76,40;78,10;76,62;77,02;77,35;77,76;77,46;76,81;77,86;76,26;77,36;77,43;78,60;76,70;68,22;77,46;77,39;77,47;75,91;76,18;78,12;78,32;77,64;76,75;77,47;76,77;77,00;75,59;74,33;75,65
100;128,02;125,86;124,43;121,94;121,07;127,54;125,84;122,76;122,44;123,38;126,24;124,31;124,63;124,83;121,38;122,46;124,62;120,84;120,35;121,34;147,14;144,81;144,77;145,13;142,56;143,37;142,93;145,40;145,85;145,71;144,11;146,87;146,62;145,73;144,75;146,20;146,76;146,26;144,76;144,90;145,33;146,56;146,51;146,50;146,64;144,40;145,46;143,65;141,38;145,15
500;499,41;501,26;493,14;495,17;496,98;500,06;497,51;497,60;477,99;489,44;472,43;472,77;464,45;461,75;467,98;481,44;482,02;468,99;487,44;487,07;647,18;645,02;648,37;640,40;645,00;651,01;636,53;652,84;651,71;637,45;647,04;643,15;651,35;648,79;642,68;651,58;651,97;652,45;640,52;652,01;651,96;652,40;651,37;648,44;652,50;647,58;646,03;646,68;651,85;642,21
1000;922,54;927,59;924,14;922,23;907,32;923,82;929,94;920,56;890,89;914,92;896,14;880,52;902,94;881,94;884,40;901,37;898,42;883,64;896,52;907,60;1210,67;1204,95;1205,05;1201,35;1204,68;1207,34;1200,79;1204,44;1200,71;1206,33;1209,64;1208,18;1203,37;1193,63;1210,19;1209,52;1205,02;1210,12;1182,46;1205,48;1209,57;1206,77;1210,04;1208,38;1204,19;1210,28;1202,82;1209,96;1209,73;1207,92
2500;2347,52;2346,62;2382,92;2351,03;2335,55;2353,54;2357,96;2331,59;2282,04;2293,02;2282,30;2244,25;2165,84;2266,80;2167,09;2257,42;2293,06;2247,46;2273,90;2319,40;3195,65;3198,55;3194,57;3177,02;3194,54;3180,27;3193,61;3196,32;3201,29;3197,04;3195,14;3197,54;3198,82;3173,47;3181,66;3199,94;3170,22;3152,03;3197,92;3198,77;3189,70;3172,15;3199,05;3192,05;3181,83;3199,14;3193,52;3180,54;3185,38;3191,71
